nome-jogador,posicao-g-f-fc-cf-c,altura-cm,peso-kg,idade,jogos-disputados_media,minutos_media,arremessos-convertidos_media,arremessos-tentados_media,porcentagem-arremessos_media,triplos-convertidos_media,triplos-tentados_media,porcentagem-triplos_media,lances-livres-convertidos_media,lances-livres-tentados_media,porcentagem-lances-livres_media,rebotes-ofensivos_media,rebotes-defensivos_media,rebotes-totais_media,assistencias_media,erros_media,roubos_media,tocos_media,faltas_media,pontos_media,jogos-disputados_total,minutos_total,arremessos-convertidos_total,arremessos-tentados_total,porcentagem-arremessos_total,triplos-convertidos_total,triplos-tentados_total,porcentagem-triplos_total,lances-livres-convertidos_total,lances-livres-tentados_total,porcentagem-lances-livres_total,rebotes-ofensivos_total,rebotes-defensivos_total,rebotes-totais_total,assistencias_total,erros_total,roubos_total,tocos_total,faltas_total,pontos_total,eficiencia-simples
Caleb Martin,2,195.6,93.0,29.0,20.0,16.240000000000002,1.61,4.17,38.60911270983214,0.27,0.9800000000000001,27.55102040816326,0.9200000000000002,1.4,65.71428571428572,0.6399999999999999,1.75,2.3899999999999997,1.5399999999999998,0.78,0.78,0.14,1.7,4.380000000000001,20,325.27,32,84,38.095238095238095,5,20,25.0,18,28,64.28571428571429,13,35,48,30,16,15,3,34,87,1.050359712230216
Kessler Edwards,2,200.7,92.1,24.0,40.0,15.2,1.7,3.4,50.0,0.6,1.4,42.85714285714286,0.3,0.3,100.0,0.6,2.3,2.9,1.1,0.4,0.5,0.5,1.6,4.2,40,608.46,67,135,49.629629629629626,22,54,40.74074074074074,12,13,92.3076923076923,22,93,115,42,16,19,20,62,168,1.2352941176470589
Daniel Gafford,3,208.3,120.2,26.0,59.0,21.303389830508475,4.915254237288136,6.977966101694915,70.43964051493806,0.0,0.0,0.0,2.3694915254237285,3.335593220338983,71.03658536585365,2.659322033898305,4.0288135593220336,6.688135593220339,1.4203389830508475,1.159322033898305,0.4033898305084746,1.7728813559322036,2.693220338983051,12.103389830508474,59,1257.395,288,410,70.24390243902438,0,0,0.0,138,199,69.34673366834171,158,237,395,84,66,24,104,157,714,1.7345154238523197
Kai Jones,4,210.8,100.2,24.0,12.0,21.7,5.1,6.099999999999999,83.6065573770492,0.10000000000000002,0.3,33.33333333333334,1.2,1.7,70.58823529411765,2.1,4.5,6.599999999999999,1.3,0.6999999999999998,0.8000000000000002,0.8000000000000002,2.3,11.4,12,260.3883333333333,61,73,83.56164383561644,1,3,33.33333333333333,14,20,70.0,25,54,79,15,8,9,10,27,137,1.868852459016394
P.J. Washington,2,198.1,104.3,26.0,64.0,32.2328125,5.343749999999999,11.74375,45.50292708887705,1.5453125,4.1453125,37.27855258198266,2.478125,3.54375,69.9294532627866,1.35625,6.365625,7.8109375,2.34375,2.165625,1.078125,1.1,2.3328124999999997,14.721874999999999,64,2062.348333333333,341,750,45.46666666666667,99,265,37.35849056603773,159,225,70.66666666666667,89,408,497,150,137,69,68,149,940,1.2535923363491217
Spencer Dinwiddie,1,195.6,97.5,32.0,79.0,27.0,3.6000000000000005,8.6,41.86046511627908,1.4,4.1,34.146341463414636,2.5,3.1,80.64516129032258,0.2,2.4,2.6,4.4,1.3,0.9000000000000001,0.2,1.5,11.0,79,2136.085,284,682,41.64222873900293,109,326,33.43558282208589,195,243,80.24691358024691,18,191,209,349,102,70,17,121,872,1.2790697674418605
Klay Thompson,1,195.6,99.8,35.0,79.0,26.63544303797469,4.822784810126582,11.925316455696203,40.441566712663196,2.8759493670886074,7.5227848101265815,38.22985024398452,0.8734177215189873,0.9645569620253165,90.5511811023622,0.5734177215189873,2.7911392405063293,3.3645569620253157,1.9645569620253163,1.191139240506329,0.6468354430379747,0.4,1.0645569620253166,13.477215189873418,79,2103.033333333333,382,941,40.59511158342189,227,593,38.27993254637437,71,78,91.02564102564102,46,221,267,156,96,51,33,86,1062,1.1301348052223754
D'Angelo Russell,1,190.5,87.5,29.0,7.0,21.6,4.0,10.6,37.735849056603776,1.6,5.3,30.188679245283023,2.9,4.0,72.5,0.4,2.7,3.1,5.6,1.9,0.6,0.1,1.4,12.4,7,151.49666666666667,28,74,37.83783783783784,11,37,29.72972972972973,20,28,71.42857142857143,3,19,22,39,13,4,1,10,87,1.169811320754717
Ryan Nembhard,1,180.3,81.6,22.0,3.0,9.2,1.3,3.0,43.333333333333336,0.0,0.6999999999999998,0.0,0.6999999999999998,0.6999999999999998,100.0,0.3,0.0,0.3,1.7,1.7,0.0,0.0,0.6999999999999998,3.2999999999999994,3,27.45,4,9,44.44444444444444,0,2,0.0,2,2,100.0,1,0,1,5,5,0,0,2,10,1.0999999999999999
Moussa Cisse,5,210.8,99.8,23.0,3.0,5.8,0.6999999999999998,1.3,53.84615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.0,0.6999999999999998,0.0,0.6999999999999998,0.3,0.3,1.0,1.3,3,17.341666666666665,2,4,50.0,0,0,0.0,0,0,0.0,2,0,2,0,2,1,1,3,4,1.0
Cooper Flagg,2,205.7,93.0,18.0,7.0,31.3,4.7,11.9,39.49579831932773,1.1,3.4,32.35294117647059,3.0,3.0,100.0,0.9,5.1,6.0,2.9,1.9,0.9,0.4,2.7,13.6,7,219.09166666666667,33,83,39.75903614457831,8,24,33.33333333333333,21,21,100.0,6,36,42,20,13,6,3,19,95,1.1428571428571428
