id-jogador,nome-jogador,apelido,id-time,sigla-time,idade,jogos-disputados,vitorias,derrotas,porcentagem-vitorias,minutos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,arremessos-bloqueados-contra,faltas,faltas-sofridas,pontos,saldo-pontos,pontos-fantasia-nba,duplos-duplos,triplos-duplos,pontos-fantasia-wnba,ranking-jogos-disputados,ranking-vitorias,ranking-derrotas,ranking-porcentagem-vitorias,ranking-minutos,ranking-arremessos-convertidos,ranking-arremessos-tentados,ranking-porcentagem-arremessos,ranking-triplos-convertidos,ranking-triplos-tentados,ranking-porcentagem-triplos,ranking-lances-livres-convertidos,ranking-lances-livres-tentados,ranking-porcentagem-lances-livres,ranking-rebotes-ofensivos,ranking-rebotes-defensivos,ranking-rebotes-totais,ranking-assistencias,ranking-erros,ranking-roubos,ranking-tocos,ranking-arremessos-bloqueados-contra,ranking-faltas,ranking-faltas-sofridas,ranking-pontos,ranking-saldo-pontos,ranking-pontos-fantasia-nba,ranking-duplos-duplos,ranking-triplos-duplos,ranking-pontos-fantasia-wnba,quantidade-times
1642843,Cooper Flagg,Cooper,1610612742,DAL,18.0,7,2,5,0.286,31.3,4.7,11.9,0.398,1.1,3.4,0.333,3.0,3.0,1.0,0.9,5.1,6.0,2.9,1.9,0.9,0.4,0.9,2.7,3.3,13.6,-9.9,27.1,2,0,26.1,1,1,1,8,2,3,3,11,4,5,3,2,4,1,5,3,3,3,3,4,5,1,2,2,3,15,3,2,1,3,1
1626156,D'Angelo Russell,D'Angelo,1610612742,DAL,29.0,7,2,5,0.286,21.6,4.0,10.6,0.378,1.6,5.3,0.297,2.9,4.0,0.714,0.4,2.7,3.1,5.6,1.9,0.6,0.1,0.3,1.4,3.0,12.4,4.0,24.8,1,0,24.1,1,1,1,8,6,4,4,12,2,2,5,3,2,11,9,5,6,1,3,7,11,12,9,3,4,2,4,3,1,4,1
1629655,Daniel Gafford,Daniel,1610612742,DAL,27.0,2,0,2,0.0,15.7,2.5,3.5,0.714,0.0,0.0,0.0,1.5,1.5,1.0,1.5,2.0,3.5,2.0,0.0,0.5,1.0,0.5,2.5,2.0,6.5,2.5,18.2,0,0,15.0,15,15,13,15,9,8,10,2,11,12,11,7,9,1,2,9,5,7,16,8,4,6,5,6,9,3,7,5,1,8,1
1641726,Dereck Lively II,Dereck,1610612742,DAL,21.0,3,1,2,0.333,16.9,2.3,3.0,0.778,0.0,0.0,0.0,0.7,1.3,0.5,1.3,3.7,5.0,3.0,1.7,0.7,1.3,0.3,3.0,1.0,5.3,5.0,20.2,0,0,17.3,12,11,13,3,8,9,11,1,11,12,11,10,10,14,3,4,4,2,5,6,1,7,1,10,10,1,5,5,1,6,1
203939,Dwight Powell,Dwight,1610612742,DAL,34.0,6,2,4,0.333,10.9,0.8,1.3,0.625,0.0,0.0,0.0,2.5,2.8,0.882,0.8,1.5,2.3,0.7,0.8,0.3,0.3,0.2,2.3,2.2,4.2,-0.5,9.1,0,0,8.5,7,1,7,3,11,13,14,3,11,12,11,5,6,6,6,10,10,12,12,10,7,15,6,5,12,5,11,5,1,11,1
1630702,Jaden Hardy,Jaden,1610612742,DAL,23.0,6,2,4,0.333,9.7,1.5,4.0,0.375,1.0,2.3,0.429,0.7,0.8,0.8,0.0,0.8,0.8,0.3,0.3,0.3,0.0,0.3,1.0,0.8,4.7,-1.0,6.8,0,0,7.5,7,1,7,3,12,11,9,13,6,6,2,10,11,7,14,12,13,14,15,10,12,7,12,11,11,6,12,5,1,12,1
202691,Klay Thompson,Klay,1610612742,DAL,35.0,7,2,5,0.286,19.8,3.0,9.1,0.328,1.6,5.7,0.275,0.6,0.6,1.0,0.3,2.7,3.0,1.6,1.1,0.1,0.4,0.3,0.7,0.3,8.1,-10.0,14.7,0,0,15.4,1,1,1,8,7,6,5,15,2,1,6,13,14,1,12,5,8,10,8,13,5,12,15,15,6,16,9,5,1,7,1
1631108,Max Christie,Max,1610612742,DAL,22.0,7,2,5,0.286,29.1,4.0,7.6,0.528,2.6,5.3,0.486,1.4,1.9,0.769,0.0,2.4,2.4,2.4,1.1,0.1,0.3,0.6,1.4,1.7,12.0,0.1,18.7,0,0,20.3,1,1,1,8,4,4,6,4,1,2,1,8,8,8,14,8,9,5,8,13,9,4,9,8,5,4,6,5,1,5,1
1642939,Miles Kelly,Miles,1610612742,DAL,22.0,1,1,0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,-1.0,0,0,0.0,16,11,16,1,16,16,16,16,11,12,11,15,15,15,14,14,16,15,10,15,12,16,12,16,16,11,16,5,1,16,1
1630619,Moussa Cisse,Moussa,1610612742,DAL,23.0,3,0,3,0.0,5.8,0.7,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.7,0.3,0.3,0.3,1.0,0.3,1.3,-3.0,3.5,0,0,3.3,12,15,11,15,15,14,14,6,11,12,11,15,15,15,7,14,14,15,13,10,7,7,12,13,15,9,15,5,1,15,1
1630230,Naji Marshall,Naji,1610612742,DAL,27.0,7,2,5,0.286,22.4,2.1,5.0,0.429,0.3,1.3,0.222,2.6,2.9,0.9,0.4,2.7,3.1,1.7,0.9,1.0,0.0,0.7,2.3,1.7,7.1,-7.1,15.6,0,0,14.3,1,1,1,8,5,10,8,10,8,9,9,4,5,5,9,5,6,8,11,2,12,2,7,8,7,13,8,5,1,9,1
1629023,P.J. Washington,P.J.,1610612742,DAL,27.0,7,2,5,0.286,32.5,5.7,12.1,0.471,1.1,3.7,0.308,2.3,3.9,0.593,1.0,6.9,7.9,2.7,2.7,0.9,1.1,0.6,2.6,3.0,14.9,-7.0,31.6,1,0,30.6,1,1,1,8,1,2,2,8,4,4,4,6,3,12,4,1,2,4,1,4,3,4,4,3,2,12,2,3,1,2,1
1642948,Ryan Nembhard,Ryan,1610612742,DAL,22.0,3,1,2,0.333,9.2,1.3,3.0,0.444,0.0,0.7,0.0,0.7,0.7,1.0,0.3,0.0,0.3,1.7,1.7,0.0,0.0,0.3,0.7,0.7,3.3,-8.3,4.6,0,0,5.3,12,11,13,3,13,12,11,9,11,10,11,10,12,1,11,14,15,9,5,15,12,7,16,12,13,14,14,5,1,13,1
