nome-jogador,jogos-disputados_media,minutos_media,arremessos-convertidos_media,arremessos-tentados_media,triplos-convertidos_media,triplos-tentados_media,lances-livres-convertidos_media,lances-livres-tentados_media,rebotes-ofensivos_media,rebotes-defensivos_media,rebotes-totais_media,assistencias_media,erros_media,roubos_media,tocos_media,faltas_media,pontos_media,porcentagem-arremessos_media,porcentagem-triplos_media,porcentagem-lances-livres_media
Kessler Edwards,40.0,15.2,1.7,3.4,0.6,1.4,0.3,0.3,0.6,2.3,2.9,1.1,0.4,0.5,0.5,1.6,4.2,50.0,42.85714285714286,100.0
Klay Thompson,79.0,26.63544303797469,4.822784810126582,11.925316455696203,2.8759493670886074,7.5227848101265815,0.8734177215189873,0.9645569620253165,0.5734177215189873,2.7911392405063293,3.3645569620253157,1.9645569620253163,1.191139240506329,0.6468354430379747,0.4,1.0645569620253166,13.477215189873418,40.441566712663196,38.22985024398452,90.5511811023622
Kyrie Irving,50.0,36.1,8.9,18.9,2.9,7.2,3.9,4.3,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2.0,24.7,47.089947089947096,40.27777777777777,90.69767441860466
Max Christie,39.0,30.166666666666668,3.9179487179487182,9.076923076923077,1.8615384615384614,4.8076923076923075,1.7282051282051283,1.982051282051282,0.3282051282051282,3.548717948717949,3.8769230769230774,2.482051282051282,1.4282051282051282,0.7564102564102564,0.3,1.317948717948718,11.343589743589742,43.163841807909606,38.72,87.19275549805951
Miles Kelly,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Moses Brown,4.0,18.2,5.3,7.3,0.0,0.0,1.3,1.5,2.0,5.8,7.8,0.5,1.3,1.0,0.8,2.8,11.8,72.6027397260274,0.0,86.66666666666667
Moussa Cisse,3.0,5.8,0.6999999999999998,1.3,0.0,0.0,0.0,0.0,0.6999999999999998,0.0,0.6999999999999998,0.0,0.6999999999999998,0.3,0.3,1.0,1.3,53.84615384615383,0.0,0.0
Naji Marshall,76.0,27.30263157894737,4.9144736842105265,9.811842105263159,0.8447368421052632,3.025,1.9644736842105261,2.3552631578947367,1.0355263157894736,3.607894736842105,4.643421052631578,2.880263157894737,1.5355263157894736,1.0,0.18157894736842106,1.6644736842105263,12.638157894736842,50.08716642081266,27.925184862983908,83.40782122905027
Olivier-Maxence Prosper,52.0,11.2,1.3000000000000003,3.3,0.2,1.0,0.9000000000000001,1.5,0.8,1.6,2.4,0.8,0.3,0.5,0.1,0.5,3.8999999999999995,39.393939393939405,20.0,60.00000000000001
P.J. Washington,64.0,32.2328125,5.343749999999999,11.74375,1.5453125,4.1453125,2.478125,3.54375,1.35625,6.365625,7.8109375,2.34375,2.165625,1.078125,1.1,2.3328124999999997,14.721874999999999,45.50292708887705,37.27855258198266,69.9294532627866
Ryan Nembhard,3.0,9.2,1.3,3.0,0.0,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.3,0.0,0.3,1.7,1.7,0.0,0.0,0.6999999999999998,3.2999999999999994,43.333333333333336,0.0,100.0
Spencer Dinwiddie,79.0,27.0,3.6000000000000005,8.6,1.4,4.1,2.5,3.1,0.2,2.4,2.6,4.4,1.3,0.9000000000000001,0.2,1.5,11.0,41.86046511627908,34.146341463414636,80.64516129032258
